platform,critic_score,na_sales,eu_sales,jp_sales,other_sales,total_sales
xb,75.0,3770.0,1090.0,0.0,180.0,5040.0
xb,75.75,130.0,40.0,0.0,10.0,180.0
xb,76.0,3590.0,960.0,50.0,160.0,4760.0
xb,77.0,6070.0,2360.0,10.0,340.0,8780.0
xb,78.0,5720.0,1880.0,40.0,290.0,7930.0
xb,79.0,5480.0,1540.0,0.0,260.0,7280.0
xb,80.0,5330.0,2130.0,30.0,250.0,7740.0
xb,81.0,6890.0,2460.0,0.0,380.0,9730.0
xb,82.0,3480.0,1500.0,30.0,220.0,5230.0
xb,83.0,7960.0,2910.0,150.0,440.0,11460.0
xb,84.0,8760.0,2790.0,0.0,420.0,11970.0
xb,85.0,9020.0,2730.0,50.0,480.0,12280.0
xb,86.0,5540.0,1410.0,0.0,290.0,7240.0
xb,87.0,6760.0,1920.0,270.0,330.0,9280.0
xb,88.0,6020.0,2430.0,30.0,320.0,8800.0
xb,89.0,5460.0,1550.0,20.0,280.0,7310.0
xb,90.0,2700.0,880.0,40.0,160.0,3780.0
xb,91.0,2800.0,310.0,70.0,130.0,3310.0
xb,92.0,5390.0,1160.0,30.0,220.0,6800.0
xb,92.5,380.0,110.0,0.0,20.0,510.0
xb,93.0,4270.0,2420.0,0.0,310.0,7000.0
xb,94.0,3270.0,1270.0,0.0,170.0,4710.0
xb,95.0,6820.0,1530.0,50.0,80.0,8480.0
xb,97.0,4980.0,1300.0,80.0,70.0,6430.0
xone,20.0,30.0,50.0,0.0,10.0,90.0
xone,23.0,110.0,70.0,0.0,20.0,200.0
xone,25.0,0.0,20.0,0.0,0.0,20.0
xone,35.0,30.0,20.0,0.0,0.0,50.0
